鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
永康區,租賃房屋,臺南市永康區中正北路６１９號１２樓之１,0.0,,,,1150429,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850918,56.17,1,2,1,有,有,有,10000,178,,0.0,0,參加臺南市社會住宅包租代管第4期計畫租金總額含管理費；續租案件；,RPPNMLKLNHLGFKD58CC,整棟(戶)出租,有,1150501~1160430,有,冷氣、熱水器,社會住宅代管
永康區,租賃房屋,臺南市永康區復華三街６２號１６樓之１,0.0,,,,1150429,土地0建物1車位0,十六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840908,139.62,4,2,2,有,有,有,18000,129,,0.0,0,參加臺南市社會住宅包租代管第4期計畫租金總額含管理費；,RPQNMLKLNHLGFKD68CC,整棟(戶)出租,有,1150501~1160430,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
永康區,租賃房屋,臺南市永康區南台街１３巷４３號十五樓之１,0.0,,,,1150427,土地0建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840523,112.09,3,2,2,有,有,有,18500,165,,0.0,0,參加國家住宅及都市更新中心辦理社會住宅包租代管增辦第四期計畫公會版多人共同承租2；續租案件；,RPQPMLKLNHLGFKD88CC,整棟(戶)出租,有,1150530~1160529,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
永康區,租賃房屋,臺南市永康區成功路２５２號五樓之３,0.0,,,,1150423,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800315,66.17,2,1,1,有,有,有,19200,290,,0.0,0,管理費:800元整。社會住宅包租代管增辦第4期計畫公會版,RPWPMLKLNHLGFKD86CC,整棟(戶)出租,有,1150516~1160515,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
永康區,租賃房屋,臺南市永康區成功路２５２號六樓之３,0.0,,,,1150424,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800315,66.17,1,1,1,有,有,有,14500,219,,0.0,0,台南市社會住宅包租代管增辦第4期計畫公會版租金依照租金水準區間表評定續租案件；,RPOQMLKLNHLGFKD78CC,獨立套房,有,1150501~1160430,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
永康區,租賃房屋,臺南市永康區大橋里中華路８６２號八樓之７,0.0,,,,1150424,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861015,37.64,1,1,1,有,有,有,14500,385,,0.0,0,台南市社會住宅包租代管增辦第4期計畫公會版租金依照租金水準區間表評定續租案件；,RPPQMLKLNHLGFKD88CC,獨立套房,有,1150510~1160509,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
永康區,租賃房屋,臺南市永康區五王里中華路５７８巷２之１號五樓之１,0.0,,,,1150424,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851028,75.78,2,1,1,有,有,有,13000,172,,0.0,0,台南市社會住宅包租代管增辦第4期計畫公會版租金依照租金水準區間表評定多人共同承租2；,RPQQMLKLNHLGFKD98CC,整棟(戶)出租,有,1150501~1160430,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
永康區,租賃房屋,臺南市永康區復華三街６６號十九樓之１,0.0,,,,1150425,土地0建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840908,126.62,3,2,2,有,有,有,18000,142,,0.0,0,台南市社會住宅包租代管增辦第4期計畫公會版租金依照租金水準區間表評定多人共同承租3；,RPSQMLKLNHLGFKD56CC,整棟(戶)出租,有,1150515~1160514,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
安南區,租賃房屋,臺南市安南區永續十八街６９號五樓之３,0.0,,,,1150424,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120110,115.96000000000001,2,2,2,有,有,有,17000,147,,0.0,0,台南市社會住宅包租代管第4期計畫公會版租金依照租金水準區間表評定未租賃車位，建物登記含有車位面積；續租案件；,RPPNMLLLNHLGFBD77CC,整棟(戶)出租,有,1150528~1160527,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
東區,租賃房屋,臺南市東區自由路三段２５６號,0.0,,,,1150424,土地0建物0車位0,全,4,透天厝,店舖、住宅、停車空間,ＲＣ造,0941227,49.0,6,6,6,有,無,有,15000,306,,0.0,0,租金總額含水費；網路費；其他含第四台費用；,RPUPMLLLNHLGFCD58CC,分租套房,無,1150424~1160423,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
